Comment,Description,Designator,Footprint,Pins,Quantity,
10uF,desc,"C3,C2,C1,",CP_EIA-3528-21_Kemet-B,2,3,
100nF,desc,"C4,",C_0603_1608Metric,2,1,
470¦¸,desc,"R4,R3,R1,",R_0603_1608Metric,2,3,
4.7k,desc,"R5,R2,",R_0603_1608Metric,2,2,
ESP-12S,desc,"U1,",ESP-12S,17,1,
NCP1117-3.3_SOT223,desc,"U2,",SOT-223-3_TabPin2,4,1,
CH330N,desc,"U4,",SOIC-8_3.9x4.9mm_P1.27mm,8,1,
KEY_Flash,desc,"Flash,",Panasonic_EVQPUL_EVQPUC,6,1,
KEY_RST,desc,"RST,",Panasonic_EVQPUL_EVQPUC,6,1,
USB_C_Receptacle_USB2.0,desc,"Type-C,",USB_C_Receptacle_XKB_U262-16XN-4BVC11,22,1,
Conn_VFD,desc,"VFD,",PinSocket_1x07_P2.54mm_Vertical,7,1,
DHT11,desc,"DHT11,",Aosong_DHT11_5.5x12.0_P2.54mm,4,1,
,,,,,,
VFD module,8-MD-06INKM,,,7,1,https://item.taobao.com/item.htm?id=597649622906
Lengthening nut,M2x12mm,,,,4,
Screws,M2x6mm,,,,8,
